client_public,role,time
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1758801
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1755448
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1751313
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1747809
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1751968
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1749955
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1772226
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1810232
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1752939
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1770426
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1772717
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1760530
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1777069
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1760633
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1751028
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1777174
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1769578
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1746623
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1747122
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1753892
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1749212
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1766503
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1796352
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1763823
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1774200
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1751109
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1772927
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1772202
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1775653
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1776269
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1775349
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1747961
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1784036
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1749612
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1750731
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1745944
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1750813
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1750107
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1777366
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1779665
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1775869
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1783187
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1794341
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1779338
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1764837
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1781430
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1745903
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1774667
