client_public,role,time
77691338c0c642bebbbede170f61e5854391e467bafcfb7151c2b7c844a3a685,client,36301817
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,520218
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515285
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516235
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516450
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,513333
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516506
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516317
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,519775
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,512423
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515400
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,519958
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,512562
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516489
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,526575
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515334
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,517110
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,511538
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,512962
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515387
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,512253
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,519337
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515685
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516602
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,517048
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,513833
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,513616
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,529083
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,512968
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,517474
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,514033
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,519930
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516611
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,511541
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515500
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516160
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516952
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515828
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516691
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,529418
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,517221
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,514391
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,513497
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516770
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516877
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516228
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515137
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,527993
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516964
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,511041
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515299
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,519778
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,512342
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516281
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516799
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516343
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516424
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,513998
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516319
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516022
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,513803
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,518819
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515751
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,513704
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,519133
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,513071
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,512740
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,517035
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516165
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516328
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516788
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,519937
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,528490
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,513877
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,518562
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,512148
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516860
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515494
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516435
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515566
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,517904
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515375
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,512731
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516136
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,519461
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,517289
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516135
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516370
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515518
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515695
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516810
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516189
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515525
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516465
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,519198
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,519073
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516701
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,511659
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515208
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,512704
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515737
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515797
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516578
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516855
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,519808
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,525050
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,518542
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,520016
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516316
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516307
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,512793
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515834
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516252
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,511576
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515404
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516146
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,515811
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,520214
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,514083
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516798
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,517013
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,513570
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,518915
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516158
d2fd9e87908e41314bc2556200deaa14be0eb6b305cb9b7f6aba9d7e07150506,server,516174
